sic,tlabel,stmt,num_companies,total_value,avg_value
4813,Net Income (Loss) Attributable to Noncontrolling Interest,EQ,3,54817564278.00,3.72909e+08
4924,Partners' Capital Account, Contributions,EQ,2,54651000000.00,4.75226e+08
4841,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,16,53983006426.00,6.19782e+07
4911,Issue of equity,EQ,5,52832093000.00,1.8281e+08
4700,Equity,EQ,2,52433419000.00,3.33971e+08
4923,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,2,51915041000.00,2.29713e+08
4911,Distribution Made to Limited Liability Company (LLC) Member, Cash Distributions Declared,EQ,2,50874096000.00,3.71344e+08
4911,Increase (decrease) in equity,EQ,4,50852079000.00,8.66305e+07
4833,Stock Issued During Period, Value, New Issues,EQ,4,50694026873.00,5.39298e+08
4400,Dividends recognised as distributions to owners,EQ,4,50185447000.00,1.59319e+08
4833,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,4,49650672902.00,1.88786e+08
4991,Stockholders' Equity Attributable to Parent,EQ,2,48686970654.00,4.23365e+08
4412,Dividends recognised as distributions to owners,EQ,8,48304850372.00,1.51426e+08
4833,Net Loss January 31,2023,EQ,3,47022000000.00,2.6717e+08
4991,Equity, Attributable to Parent,EQ,2,46834445052.00,4.37705e+08
4832,Treasury Stock, Value, Acquired, Cost Method,EQ,5,45984240432.00,1.76862e+08
4922,Net Income (Loss) Attributable to Parent,EQ,8,45188144272.00,1.6988e+08
4922,Partners' Capital Account, Acquisitions,EQ,3,44946244000.00,3.4842e+08
4922,Payments of Distributions to Affiliates,EQ,2,44045878000.00,2.71888e+08
4911,Net Income (Loss), Including Portion Attributable to Nonredeemable Noncontrolling Interest,EQ,6,43602688000.00,8.15004e+07
4922,Stock Repurchased During Period, Value,EQ,9,42933652000.00,1.04208e+08
4011,Stock Issued During Period, Value, Acquisitions,EQ,2,40802000000.00,3.40017e+09
4941,Net loss,EQ,10,40409008436.00,6.46544e+07
4841,Retained Earnings (Accumulated Deficit),EQ,3,40186365000.00,1.91364e+09
4731,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,8,39996520273.00,7.70646e+07
4610,Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests,EQ,2,38795000000.00,9.02209e+08
4911,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,20,38751846072.00,2.04819e+07
4581,Equity,EQ,2,37623076000.00,2.14989e+08
4832,Stock Repurchased During Period, Value,EQ,6,36412080000.00,1.60406e+08
4400,Issue of equity,EQ,3,36240415000.00,2.107e+08
4953,Stockholders' Equity Attributable to Parent,EQ,7,36191805794.00,4.18402e+07
4412,Net Income (Loss) Attributable to Parent,EQ,24,36032140822.00,3.98586e+07
4813,Stock Issued During Period, Value, Treasury Stock Reissued,EQ,2,34269000000.00,3.68484e+08
4833,Dividends, Common Stock,EQ,4,34247000000.00,6.4133e+07
4813,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,7,33767672850.00,1.18483e+08
4213,Stock Repurchased and Retired During Period, Value,EQ,5,33688294000.00,1.30071e+08
4911,Payments of Distributions to Affiliates,EQ,2,33682900000.00,7.86984e+07
4899,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,7,33679623228.00,8.07665e+07
4924,Net Income (Loss) Attributable to Noncontrolling Interest,EQ,2,33539985000.00,1.51081e+08
4512,Net loss,EQ,12,33361990909.00,5.90478e+07
4911,Adjustments to Additional Paid in Capital, Other,EQ,5,33190497562.00,7.64758e+07
4931,Noncontrolling Interest, Increase from Subsidiary Equity Issuance,EQ,7,32657756000.00,5.4339e+07
4210,Stockholders' Equity, Including Portion Attributable to Noncontrolling Interest,EQ,4,32545227994.00,3.2874e+08
4813,Treasury Stock, Value, Acquired, Cost Method,EQ,3,32314118000.00,1.29256e+08
4931,Proceeds from Contributions from Parent,EQ,4,32237000000.00,1.01056e+08
4833,Treasury Stock, Value, Acquired, Cost Method,EQ,3,32213516000.00,1.53398e+08
4922,Net loss,EQ,5,31991957000.00,1.63224e+08
4610,Temporary Equity, Carrying Amount, Attributable to Parent,EQ,2,31817224000.00,4.97144e+08
4911,Noncontrolling Interest, Increase from Business Combination,EQ,10,31583917130.00,1.63647e+08
4412,Net loss,EQ,24,30017478896.00,6.29297e+07
4899,Net Loss January 31,2023,EQ,5,29747858236.00,1.36458e+08
4924,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,3,28362953000.00,9.91712e+07
4832,Dividends, Common Stock, Cash,EQ,4,28214522642.00,7.66699e+07
4813,Profit (loss),EQ,3,27957658000.00,4.65961e+08
4213,Treasury Stock, Value, Acquired, Cost Method,EQ,10,27651818000.00,2.65373e+07
4841,APIC, Share-based Payment Arrangement, Increase for Cost Recognition,EQ,14,27434561474.00,7.01651e+07
4731,Net Loss January 31,2023,EQ,8,27083793434.00,8.18241e+07
4911,Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests,EQ,2,26869772900.00,3.58264e+08
4813,Temporary Equity, Carrying Amount, Including Portion Attributable to Noncontrolling Interests,EQ,3,26534050000.00,1.33337e+08
4813,Dividends, Common Stock,EQ,7,26310024000.00,7.09165e+07
4922,Stock Issued During Period, Value, Acquisitions,EQ,4,26018572000.00,3.4235e+08
4932,Noncontrolling Interest, Increase from Subsidiary Equity Issuance,EQ,3,25960879000.00,1.40329e+08
4931,Stockholders' Equity Attributable to Noncontrolling Interest,EQ,2,25200825000.00,8.68994e+08
4911,Dividends recognised as distributions to owners,EQ,3,24684408000.00,7.91167e+07
4412,Comprehensive income,EQ,5,24532566000.00,5.70525e+07
4941,Shares Issued, Value, Share-Based Payment Arrangement, after Forfeiture,EQ,5,24316964000.00,4.33457e+07
4911,Decrease Through Disposal Of Assets,EQ,2,24223000000.00,6.52911e+07
4899,Net Income (Loss) Available to Common Stockholders, Basic,EQ,3,23630481000.00,2.41127e+08
4922,Noncontrolling Interest, Decrease from Redemptions or Purchase of Interests,EQ,5,23585400000.00,1.28882e+08
4932,Other Comprehensive Income (Loss), Net of Tax,EQ,2,23571884000.00,3.68887e+07
4400,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,10,23534028112.00,5.52442e+07
4922,Dividends, Common Stock,EQ,4,23236198000.00,1.33541e+08
4841,Stock Issued During Period, Value, Acquisitions,EQ,9,22755390000.00,2.6771e+08
4924,Dividends, Common Stock, Cash,EQ,5,22484817000.00,5.85542e+07
4700,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,15,21944485870.00,3.70684e+07
4512,Other Comprehensive Income (Loss), Net of Tax,EQ,7,21770792476.00,3.68372e+07
4841,Noncontrolling Interest, Decrease from Distributions to Noncontrolling Interest Holders,EQ,7,20739072000.00,2.921e+07
4400,Issuance of common stock and warrants, net of issuance costs,EQ,11,20720801204.00,1.31144e+08
4813,Comprehensive income,EQ,3,20682541000.00,4.22093e+08
4813,Noncontrolling Interest, Increase from Subsidiary Equity Issuance,EQ,7,20319764000.00,8.43144e+07
4932,Stock Repurchased During Period, Value,EQ,2,20054102000.00,1.29381e+08
4210,Equity, Including Portion Attributable to Noncontrolling Interest,EQ,3,20033528000.00,1.4623e+08
4911,Limited Partners' Capital Account, Distribution Amount,EQ,2,20013000000.00,6.69331e+07
4833,Net Income (Loss) Attributable to Parent,EQ,4,19911473970.00,4.10546e+07
4400,Net Loss January 31,2023,EQ,8,19906403957.00,9.47924e+07
4924,Dividends, Common Stock,EQ,5,19699218000.00,2.34514e+07
4833,Dividends,EQ,3,19678762000.00,1.0695e+08
4911,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest, Including Rounding Adjustments,EQ,2,19429000000.00,9.34087e+07
4841,Stock Issued During Period, Value, New Issues,EQ,9,19352125095.00,8.79642e+07
4812,Comprehensive income,EQ,4,19256000000.00,8.37217e+07
4923,Stock Issued During Period, Value, New Issues,EQ,6,19051340302.00,6.45808e+07
4924,Net Loss January 31,2023,EQ,4,19023916960.00,1.74531e+08
4924,Stock Issued During Period, Value, New Issues,EQ,10,18274718464.00,5.4879e+07
4911,Comprehensive Income (Loss), Net of Tax, Including Portion Attributable to Noncontrolling Interest,EQ,2,17780511000.00,2.27955e+08
4833,Stock Repurchased During Period, Value,EQ,6,17590068000.00,9.66487e+07
4512,Other Comprehensive Income (Loss), Net of Tax, Portion Attributable to Parent,EQ,3,17177974000.00,3.86891e+07
4931,Noncontrolling Interest, Increase from Sale of Parent Equity Interest,EQ,3,17103000000.00,1.98872e+08
4922,Adjustments to Additional Paid in Capital, Dividends in Excess of Retained Earnings,EQ,2,16800776000.00,1.01823e+08
4700,Share-based expense,EQ,14,16592743420.00,4.04701e+07
4931,Treasury Stock, Value, Acquired, Cost Method,EQ,3,16535170000.00,3.30703e+08
4932,Stock Issued During Period, Value, New Issues,EQ,6,16326354826.00,6.94739e+07
4922,Noncontrolling Interest, Increase from Sale of Parent Equity Interest,EQ,5,15899680000.00,2.94439e+08
4011,Other Comprehensive Income (Loss), Net of Tax, Portion Attributable to Parent,EQ,3,15684000000.00,2.65831e+07
4412,Net Loss January 31,2023,EQ,11,15666349263.00,4.76181e+07
4833,Dividends, Common Stock, Cash,EQ,3,15502758000.00,9.33901e+07
4911,Comprehensive income,EQ,7,15136243000.00,2.6097e+07
4011,Net Income (Loss), Including Portion Attributable to Noncontrolling Interest,EQ,2,15069799000.00,1.17733e+08
4813,Adjustments to Additional Paid in Capital, Dividends in Excess of Retained Earnings,EQ,2,14962746000.00,2.37504e+08
4700,Stock Issued During Period, Value, Acquisitions,EQ,13,14543026272.00,6.82771e+07
4922,Partners' Capital Account, Contributions,EQ,4,14458718000.00,6.17894e+07
4833,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,5,14451518000.00,6.25607e+07
4924,Stock Issued During Period, Value, Acquisitions,EQ,3,14041198000.00,4.84179e+08
4610,Stock Repurchased During Period, Value,EQ,4,13740928000.00,1.30866e+08
4812,APIC, Share-Based Payment Arrangement, Increase for Cost Recognition,EQ,3,13674580268.00,1.34065e+08
4412,Dividends, Common Stock,EQ,10,13609690527.00,3.27944e+07
